k,steps,mean_%,median_%,min_%,p05_%,p95_%,pct_steps_ge_90%,pct_steps_ge_95%,pct_steps_ge_99%
100,991,99.82986173625638,99.98909300089855,88.40247099641131,99.19844526097508,100.00011802345543,99.89909182643795,99.59636730575177,96.3673057517659
128,991,99.86796482060693,99.99177809270456,89.90626544717463,99.41998094494096,100.00015075869698,99.89909182643795,99.89909182643795,97.37638748738647
200,991,99.9156056416136,99.99520802580298,92.22876546605842,99.6767823777092,100.00021938398444,100.0,99.89909182643795,98.68819374369325
