k,steps,mean_%,median_%,min_%,p05_%,p95_%,pct_steps_ge_90%,pct_steps_ge_95%,pct_steps_ge_99%
100,392,99.72103256310062,99.97932933876558,88.40247099641131,98.71149405851028,100.0001012893354,99.74489795918367,98.9795918367347,93.62244897959184
128,392,99.77875502690348,99.98424052553172,89.90626544717463,99.02543645448256,100.000121387673,99.74489795918367,99.74489795918367,94.89795918367348
200,392,99.8530531112225,99.9905301700081,92.22876546605842,99.46307243480912,100.00017811965304,100.0,99.74489795918367,96.93877551020408
